id,YEAR,MAKE,MODEL,DESCRIPTION,DEPT,SALE_PRICE,SALE_DATE,SOLD_BY
31068,2003,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPD,5864,,BIDADOO ONLINE AUCTION
31070,2003,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPD,6200,,BIDADOO ONLINE AUCTION
31092,2010,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - 4X4,SPU,4500,,MURPHYS AUCTION
31268,2003,HONDA,CIVIC GX,SUBCOMPACT SEDAN - DEDICATED CNG,SFD,7400,,MURPHYS AUCTION
31270,2003,TOYOTA,PRIUS,SEDAN COMPACT - HYBRID,FAS,6750,,MURPHYS AUCTION
31281,2003,TOYOTA,PRIUS,SEDAN COMPACT HYBRID,FAS,6750,,MURPHYS AUCTION
31283,2003,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPL,5800,,BIDADOO ONLINE AUCTION
31306,2003,TOYOTA,PRIUS,COMPACT SEDAN HYBRID,FAS,6750,,MURPHYS AUCTION
31378,2011,FORD,F350,TRUCK 2WD CREW CAB,SDOT,4200,,MURPHYS AUCTION
31460,1995,BOBCAT,753,SKID STEER LOADER,DPR,5350,,MURPHYS AUCTION
31470,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,2325,,BIDADOO ONLINE AUCTION
31471,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,210,,MURPHYS AUCTION
31472,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,510,,MURPHYS AUCTION
31473,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,2357,,BIDADOO ONLINE AUCTION
31475,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,1775,,BIDADOO ONLINE AUCTION
31476,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,1700,,BIDADOO ONLINE AUCTION
31497,2010,FORD,CROWN VICTORIA,PATROL CAR - DUI,SPD,575,,MURPHYS AUCTION
31581,2003,DODGE,NEON,SUBCOMPACT SEDAN,SDOT,4500,,MURPHYS AUCTION
31615,2003,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPD,6500,,MURPHYS AUCTION
31757,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,500,,MURPHYS AUCTION
31815,2003,HONDA,CIVIC GX,SUBCOMPACT SEDAN - DEDICATED CNG,SFD,5790.58,,BIDADOO ONLINE AUCTION
31874,2003,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,5350,,MURPHYS AUCTION
31907,2003,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPU,7339,,BIDADOO ONLINE AUCTION
31915,2012,FORD,ESCAPE,SUV COMPACT 4X4,SDOT,10250,,MURPHYS AUCTION
32447,2005,BEARCAT,CHIPPER,CHIPPER,DPR,1250,,BIDADOO ONLINE AUCTION
32509,2003,TOYOTA,PRIUS,SEDAN COMPACT - HYBRID,SPU,5600,,BIDADOO ONLINE AUCTION
32555,2003,CHEVROLET,ASTRO,MINIVAN CARGO,SPU,5700,,MURPHYS AUCTION
32908,2003,FORD,F350,PICKUP,SPD,6900,,BIDADOO ONLINE AUCTION
32910,2003,CHEVROLET,EXPRESS,CARGO VAN,FAS,5500,,MURPHYS AUCTION
33118,2003,CHEVROLET,TRACKER,COMPACT SUV - 4X4,HEALTH,3000,,MURPHYS AUCTION
33167,2003,FORD,F350,PICKUP - CREW CAB,SPD,9010,,MURPHYS AUCTION
33227,2003,CHEVROLET,ASTRO,CARGO MINIVAN,OH,6800,,BIDADOO ONLINE AUCTION
33248,2003,FORD,F250,PICKUP,DPR,5600,,BIDADOO ONLINE AUCTION
33294,2003,CHEVROLET,ASTRO,MINIVAN K-9,SPD,4550.09,,BIDADOO ONLINE AUCTION
33313,2003,FORD,F250,PICKUP,DPR,8100,,MURPHYS AUCTION
33317,2003,FORD,F350,PICKUP - CREW CAB,DPR,4250,,MURPHYS AUCTION
33320,2003,FORD,F250,PICKUP,DPR,4100,,MURPHYS AUCTION
33321,2003,FORD,F250,PICKUP,DPR,6000,,MURPHYS AUCTION
33324,2003,FORD,F250,PICKUP,DPR,2550,,MURPHYS AUCTION
33404,2003,FORD,CLUB WAGON,PASSENGER VAN,DPR,11500,,MURPHYS AUCTION
33405,2003,FORD,CLUB WAGON,PASSENGER VAN,DPR,7025,,BIDADOO ONLINE AUCTION
33413,2003,CHEVROLET,EXPRESS,VAN CARGO,DPR,6875,,BIDADOO ONLINE AUCTION
33417,2003,FORD,CLUB WAGON,PASSENGER VAN,DPR,9200,,BIDADOO ONLINE AUCTION
33423,2003,FORD,E250,CARGO VAN,SFD,6751,,BIDADOO ONLINE AUCTION
33425,2003,FORD,CLUB WAGON,PASSENGER VAN,DPR,6957,,BIDADOO ONLINE AUCTION
33465,2003,FORD,F250,PICKUP,SPU,6250,,MURPHYS AUCTION
33502,2003,CHEVROLET,S10,COMPACT PICKUP,SDOT,4606,,BIDADOO ONLINE AUCTION
33532,2003,GMC,WORK HORSE,WALKIN VAN - CLASS 4,FAS,13000,,MURPHYS AUCTION
33632,2003,FORD,F450,PICKUP FLATBED PLOW,SDOT,19000,,BIDADOO ONLINE AUCTION
33652,2003,FORD,F350,PICKUP - FLATBED - CRANE,SPU,7600,,MURPHYS AUCTION
33698,2003,FORD,EXPEDITION,FULLSIZE SUV - 4X4,SDOT,5684,,BIDADOO ONLINE AUCTION
33705,2003,FORD,F250,PICKUP,DPR,4800,,BIDADOO ONLINE AUCTION
33706,2003,FORD,F250,PICKUP,DPR,6500,,MURPHYS AUCTION
33708,2003,FORD,F250,PICKUP - CREW CAB,DPR,3700,,MURPHYS AUCTION
33712,2003,FORD,F350,PICKUP - FLATBED - CRANE,SDOT,11976,,BIDADOO ONLINE AUCTION
33722,2003,PETERBILT,330,TRUCK - SERVICE BODY - CLASS 7,SPU,47500,,MURPHYS AUCTION
33723,2003,PETERBILT,330,TRUCK - SERVICE BODY - CLASS 7,SPU,32500,,MURPHYS AUCTION
33726,2003,FORD,F250,PICKUP,DPR,9450,,MURPHYS AUCTION
33728,2003,FORD,EXPEDITION,FULLSIZE SUV - 4X4,SFD,7000,,MURPHYS AUCTION
33729,2003,FORD,EXPEDITION,FULLSIZE SUV - 4X4,SFD,6552.25,,BIDADOO ONLINE AUCTION
33752,2003,CHEVROLET,BLAZER,SUV MIDSIZE 4X4,SFD,5000,,MURPHYS AUCTION
33814,2003,FORD,EXPEDITION,FULLSIZE SUV - 4X4,SFD,7000,,MURPHYS AUCTION
33957,2003,FORD,F350,PICKUP - DUMP BODY,DPR,11250,,BIDADOO ONLINE AUCTION
33965,2003,FORD,F250,PICKUP - CREW CAB,DPR,4100,,MURPHYS AUCTION
33975,2003,FORD,F350,PICKUP - CREW CAB,DPR,4500,,MURPHYS AUCTION
33977,2003,FORD,F350,PICKUP - CREW CAB,DPR,7650,,BIDADOO ONLINE AUCTION
34514,2003,FORD,WINDSTAR,MINIVAN CARGO,SPU,1600,,MURPHYS AUCTION
34528,2003,CHEVROLET,EXPRESS,VAN CARGO,SPU,8500,,MURPHYS AUCTION
34550,2003,CHEVROLET,S10,COMPACT PICKUP,SPU,3355,,BIDADOO ONLINE AUCTION
34563,2003,FORD,F250,PICKUP - 4X4,SPU,13100,,BIDADOO ONLINE AUCTION
34570,2003,CHEVROLET,ASTRO,PASSENGER MINIVAN,SPU,6100,,BIDADOO ONLINE AUCTION
34578,2003,CHEVROLET,ASTRO,CARGO MINIVAN,SPU,5800,,MURPHYS AUCTION
34582,2003,FORD,EXPEDITION,FULLSIZE SUV - 4X4,SPU,4600,,MURPHYS AUCTION
34583,2003,CHEVROLET,ASTRO,CARGO MINIVAN,SPU,6000,,MURPHYS AUCTION
34588,2003,CHEVROLET,S10,COMPACT PICKUP,SPU,1825,,MURPHYS AUCTION
34598,2003,FORD,F350,PICKUP - SERVICE BODY - 4X4,SPU,11600,,BIDADOO ONLINE AUCTION
34633,2003,FORD,F250,PICKUP - DUMP BODY - 4X4,DPR,9000,,BIDADOO ONLINE AUCTION
34635,2003,FORD,F250,PICKUP - 4X4,SPU,14000,,MURPHYS AUCTION
34640,2003,GMC,WORK HORSE,WALKIN VAN - CLASS 3,SPU,9900,,BIDADOO ONLINE AUCTION
34644,2003,FORD,F250,PICKUP,SPU,6100,,BIDADOO ONLINE AUCTION
34664,2003,FORD,F250,PICKUP - 4X4,SPU,6200,,BIDADOO ONLINE AUCTION
34681,2003,FORD,4X4 RANGER,COMPACT PICKUP - 4X4,SPU,6601,,BIDADOO ONLINE AUCTION
34703,2003,FREIGHTLINER,SPRINTER P2500SHC,PASSENGER VAN,SPU,16850.89,,BIDADOO ONLINE AUCTION
35520,2003,PETERBILT,320,TRUCK - EDUCTOR - VACTOR,SPU,82500,,MURPHYS AUCTION
35801,2003,FORD,F450,PICKUP - DUMPING FLATBED - CLASS 4,DPR,16000,,BIDADOO ONLINE AUCTION
36500,2003,CATERPILLAR,420D,BACKHOE LOADER - 16000 LB - BREAKER,SPU,24000,,MURPHYS AUCTION
36537,2003,CATERPILLAR,420D,BACKHOE LOADER - 16000 LB,SPU,36500,,MURPHYS AUCTION
36589,2003,FORD NEW HOLLAND,TS110,TRACTOR - BRUSHCUTTER FLAIL - 4X4,SPU,18000,,MURPHYS AUCTION
38144,2003,FORD NEW HOLLAND,TL90 DELUXE,TRACTOR - 4X4,DPR,28259,,BIDADOO ONLINE AUCTION
38145,2003,FORD NEW HOLLAND,TL90 DELUXE,TRACTOR - 4X4,DPR,25758,,BIDADOO ONLINE AUCTION
38255,2003,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,1050,,MURPHYS AUCTION
38269,2003,GO-4,INTERCEPTOR II,PEO SCOOTER TRAINING,SPD,2000,,MURPHYS AUCTION
38359,2003,CHEVROLET,MALIBU,SEDAN MIDSIZE,SPD,3053,,BIDADOO ONLINE AUCTION
39625,2003,FORD,CROWN VICTORIA,PATROL CAR TRAINING,SPD,2275,,BIDADOO ONLINE AUCTION
39626,2003,FORD,CROWN VICTORIA,FULLSIZE SEDAN,SPD,2100,,BIDADOO ONLINE AUCTION
41208,2004,CHEVROLET,CAVALIER,COMPACT SEDAN,HSD,3200,,MURPHYS AUCTION
41209,2004,CHEVROLET,CAVALIER,COMPACT SEDAN,HSD,4300,,BIDADOO ONLINE AUCTION
41212,2004,CHEVROLET,CAVALIER,COMPACT SEDAN,HSD,3250,,BIDADOO ONLINE AUCTION
41272,2004,TOYOTA,PRIUS,SEDAN COMPACT HYBRID,FAS,6010,,MURPHYS AUCTION
41278,2004,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPD,8100,,MURPHYS AUCTION
41451,2004,JEEP,LIBERTY,SUV COMPACT,SPU,3750,,MURPHYS AUCTION
41701,2004,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,2806,,BIDADOO ONLINE AUCTION
41702,2004,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,3450,,BIDADOO ONLINE AUCTION
41703,2004,CHEVROLET,IMPALA,SEDAN MIDSIZE,SPD,2656,,BIDADOO ONLINE AUCTION
41704,2004,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,3296,,MURPHYS AUCTION
41705,2004,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,4644,,BIDADOO ONLINE AUCTION
41707,2004,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,2727.78,,BIDADOO ONLINE AUCTION
41708,2004,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,2455,,BIDADOO ONLINE AUCTION
41923,2004,TORO,WORKMAN 4200,UTILITY VEHICLE 4 WHEEL,DPR,7100,,MURPHYS AUCTION
41992,2004,TORO,WORKMAN 3300,UTILITY VEHICLE 4 WHEEL,CEN,3500,,MURPHYS AUCTION
42906,2004,DODGE,STRATUS,MIDSIZE SEDAN,DPR,3000,,MURPHYS AUCTION
43171,2004,CHEVROLET,EXPRESS,CARGO VAN,SPD,9100,,BIDADOO ONLINE AUCTION
43230,2004,FORD,E250,CARGO VAN,SPL,7100,,BIDADOO ONLINE AUCTION
43231,2004,FORD,E250,CARGO VAN,SPL,11100,,BIDADOO ONLINE AUCTION
43232,2004,FORD,E250,CARGO VAN,SPL,6000,,BIDADOO ONLINE AUCTION
43236,2004,FORD,E250,CARGO VAN,SPL,7750,,MURPHYS AUCTION
