id,YEAR,MAKE,MODEL,DESCRIPTION,DEPT,SALE_PRICE,SALE_DATE,SOLD_BY
51439,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,6578,,BIDADOO ONLINE AUCTION
51444,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,HSD,9100,,BIDADOO ONLINE AUCTION
51472,2005,CHEVROLET,ASTRO,CARGO MINIVAN,SPU,8700,,BIDADOO ONLINE AUCTION
51473,2005,CHEVROLET,ASTRO,CARGO MINIVAN,SPU,9600,,MURPHYS AUCTION
51535,2005,CHEVROLET,ASTRO,CARGO MINIVAN,SDOT,6600,,MURPHYS AUCTION
51564,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SFD,5100,,BIDADOO ONLINE AUCTION
51625,2005,CHEVROLET,ASTRO,CARGO MINIVAN,SDOT,5700,,BIDADOO ONLINE AUCTION
51674,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SDOT,8700,,BIDADOO ONLINE AUCTION
51680,2005,FORD,FOCUS,SUBCOMPACT SEDAN,SDOT,4399,,BIDADOO ONLINE AUCTION
51688,2005,DODGE,STRATUS,SEDAN MIDSIZE,SPU,5401.01,,BIDADOO ONLINE AUCTION
51848,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPD,8500,,MURPHYS AUCTION
51882,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,8201,,BIDADOO ONLINE AUCTION
51892,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,9715.04,,BIDADOO ONLINE AUCTION
52020,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SDCI,7000,,MURPHYS AUCTION
52081,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPD,9600,,BIDADOO ONLINE AUCTION
52084,2005,TOYOTA,PRIUS,SEDAN COMPACT HYBRID,SFD,7500,,MURPHYS AUCTION
52086,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,6000,,MURPHYS AUCTION
52147,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPD,8500,,MURPHYS AUCTION
52314,2005,JEEP,LIBERTY,SUV COMPACT,SFD,4477.7,,BIDADOO ONLINE AUCTION
52528,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SPU,9256,,BIDADOO ONLINE AUCTION
52567,2005,DODGE,CARAVAN,PASSENGER MINIVAN,SDOT,3750,,BIDADOO ONLINE AUCTION
53030,2005,CHEVROLET,EXPRESS,VAN PASSENGER,FAS,11201,,BIDADOO ONLINE AUCTION
53035,2005,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,14500,,BIDADOO ONLINE AUCTION
53041,2005,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,9000,,BIDADOO ONLINE AUCTION
53042,2005,FORD,F250,PICKUP,FAS,9001,,MURPHYS AUCTION
53046,2005,CHEVROLET,EXPRESS,VAN PASSENGER,DPR,11810,,BIDADOO ONLINE AUCTION
53155,2005,DODGE,CARAVAN,PASSENGER MINIVAN,SPD,4001,,BIDADOO ONLINE AUCTION
53158,2005,CHEVROLET,SUBURBAN K2500,SUV FULLSIZE - 4X4,SPD,3400,,MURPHYS AUCTION
53158,2005,CHEVROLET,SUBURBAN K2500/K25906,SUV FULLSIZE - 4X4,SPD,3400,,MURPHYS AUCTION
53240,2005,JEEP,LIBERTY,SUV COMPACT,SPU,4500,,BIDADOO ONLINE AUCTION
53241,2005,JEEP,LIBERTY,COMPACT SUV,SPU,4250,,BIDADOO ONLINE AUCTION
53242,2005,JEEP,LIBERTY,COMPACT SUV,SPU,5219,,BIDADOO ONLINE AUCTION
53251,2005,FORD,F350,PICKUP - ANIMAL CONTROL BODY,FAS,4376.01,,BIDADOO ONLINE AUCTION
53253,2005,FORD,F350,PICKUP - ANIMAL CONTROL BODY,FAS,7000,,MURPHYS AUCTION
53254,2005,FORD,F350,PICKUP - ANIMAL CONTROL BODY,FAS,6600,,BIDADOO ONLINE AUCTION
53446,2005,CHEVROLET,ASTRO,CARGO MINIVAN,DOIT,10200,,BIDADOO ONLINE AUCTION
53447,2005,CHEVROLET,ASTRO,CARGO MINIVAN,DOIT,8520,,BIDADOO ONLINE AUCTION
53503,2005,CHEVROLET,TAHOE,FULLSIZE SUV - 4X4,SDOT,5901,,BIDADOO ONLINE AUCTION
53506,2005,CHEVROLET,ASTRO,CARGO MINIVAN,SDOT,6408,,BIDADOO ONLINE AUCTION
53515,2005,DODGE,CARAVAN,PASSENGER MINIVAN,SDOT,4424.85,,BIDADOO ONLINE AUCTION
53521,2005,DODGE,CARAVAN,CARGO MINIVAN,SDOT,4325,,BIDADOO ONLINE AUCTION
53524,2005,DODGE,CARAVAN,CARGO MINIVAN,SPU,3100,,MURPHYS AUCTION
53535,2005,CHEVROLET,ASTRO,CARGO MINIVAN,SDOT,4905,,BIDADOO ONLINE AUCTION
53555,2005,FORD,RANGER,PICKUP COMPACT,SDOT,6700,,BIDADOO ONLINE AUCTION
53558,2005,FORD,F350,PICKUP,SPU,11410,,BIDADOO ONLINE AUCTION
53570,2005,FORD,F350,PICKUP - FLATBED,SDOT,12100,,BIDADOO ONLINE AUCTION
53574,2005,DODGE,CARAVAN,CARGO MINIVAN,SPU,5300,,MURPHYS AUCTION
53576,2005,DODGE,CARAVAN,MINIVAN CARGO,SPU,3500,,MURPHYS AUCTION
53577,2005,DODGE,CARAVAN,CARGO MINIVAN,SPU,6855,,BIDADOO ONLINE AUCTION
53608,2005,DODGE,CARAVAN,CARGO MINIVAN,SPU,2600,,MURPHYS AUCTION
53614,2005,FORD,RANGER,COMPACT PICKUP,SDOT,7150,,BIDADOO ONLINE AUCTION
53665,2005,FORD,F450,PICKUP - DUMPING FLATBED - CLASS 4,SDOT,13100,,BIDADOO ONLINE AUCTION
53761,2005,DODGE,CARAVAN,PASSENGER MINIVAN,SFD,4450,,BIDADOO ONLINE AUCTION
53767,2005,CHEVROLET,SUBURBAN K1500,SUV FULLSIZE - 4X4,SFD,6400,,MURPHYS AUCTION
53767,2005,CHEVROLET,SUBURBAN K1500/K15906,SUV FULLSIZE - 4X4,SFD,6400,,MURPHYS AUCTION
53771,2005,CHEVROLET,SUBURBAN K1500,SUV FULLSIZE - 4X4,SFD,6300,,BIDADOO ONLINE AUCTION
53771,2005,CHEVROLET,SUBURBAN K1500/K15906,SUV FULLSIZE - 4X4,SFD,6300,,BIDADOO ONLINE AUCTION
53862,2005,FORD,F350,PICKUP - CREW CAB - 4X4,DPR,7900,,BIDADOO ONLINE AUCTION
53873,2005,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,9900,,BIDADOO ONLINE AUCTION
53874,2005,CHEVROLET,EXPRESS,CARGO VAN,DPR,5200,,BIDADOO ONLINE AUCTION
53878,2005,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,11100,,BIDADOO ONLINE AUCTION
53881,2005,CHEVROLET,EXPRESS,VAN PASSENGER,DPR,11300,,BIDADOO ONLINE AUCTION
53882,2005,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,8652,,BIDADOO ONLINE AUCTION
53886,2005,CHEVROLET,ASTRO,CARGO MINIVAN,SDOT,6408.08,,BIDADOO ONLINE AUCTION
53891,2005,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,11100,,BIDADOO ONLINE AUCTION
53892,2005,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,9188.88,,BIDADOO ONLINE AUCTION
53893,2005,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,13375,,BIDADOO ONLINE AUCTION
53894,2005,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,11200,,BIDADOO ONLINE AUCTION
54500,2005,CHEVROLET,ASTRO,CARGO MINIVAN,SPU,8400,,BIDADOO ONLINE AUCTION
54537,2005,FORD,RANGER,COMPACT PICKUP,SPU,5176,,BIDADOO ONLINE AUCTION
54595,2005,CHEVROLET,ASTRO,CARGO MINIVAN,SPU,9100,,MURPHYS AUCTION
54602,2005,FORD,F250,PICKUP,SPU,13500,,MURPHYS AUCTION
54653,2005,FORD,F250,PICKUP - 4X4,SPU,9500,,BIDADOO ONLINE AUCTION
54666,2005,FORD,F350,PICKUP - SERVICE BODY,SPU,5701,,BIDADOO ONLINE AUCTION
55538,2005,CASE,590M,BACKHOE LOADER - 19500 LB - BREAKER  4X4,SDOT,59201,,BIDADOO ONLINE AUCTION
55698,2005,LEE BOY,5000,"PATHWAY PAVER - 5`-9""",SDOT,23250,,MURPHYS AUCTION
55698,2005,LEE BOY,5000 PATH MASTER PAVER,"PATHWAY PAVER - 5`-9""",SDOT,23250,,MURPHYS AUCTION
55754,2005,STERLING,SC8000,SWEEPER - REGENERATIVE AIR,SDOT,35300,,BIDADOO ONLINE AUCTION
55756,2005,STERLING,SC8000,SWEEPER - MECHANICAL,SDOT,44255,,BIDADOO ONLINE AUCTION
55757,2005,STERLING,SC8000,SWEEPER - REGENERATIVE AIR M6000,SDOT,50010,,BIDADOO ONLINE AUCTION
55758,2005,STERLING,SC8000,SWEEPER - MECHANICAL,SDOT,44101,,BIDADOO ONLINE AUCTION
56598,2006,FORD,F550,TRUCK - SERVICE BODY - CLASS 5,SPU,16000,,MURPHYS AUCTION
57145,2005,BOMAG,BW90AD-2,ROLLER - 1.5 TON DOUBLE DRUM,SDOT,19600,,BIDADOO ONLINE AUCTION
57401,2005,GENIE,TZ-50,AERIAL LIFT - TRAILER MOUNTED,SDOT,13500,,MURPHYS AUCTION
58024,2005,TORO,328-D 4WD,"MOWER - 72"" ROTARY",DPR,4800,,MURPHYS AUCTION
58025,2005,TORO,328-D 4WD,"MOWER - 72"" ROTARY",DPR,5000,,MURPHYS AUCTION
58029,2005,TORO,4000-D,MOWER - 11` ROTARY,DPR,8500,,MURPHYS AUCTION
58030,2005,TORO,4000-D,MOWER - 11` ROTARY,DPR,11101,,BIDADOO ONLINE AUCTION
58031,2005,TORO,328-D 4WD,"MOWER - 72"" ROTARY",DPR,4500,,MURPHYS AUCTION
58033,2005,TORO,328-D 4WD,"MOWER - 72"" ROTARY",DPR,4350,,MURPHYS AUCTION
58034,2005,TORO,328-D 4WD,"MOWER - 72"" ROTARY",DPR,4000,,MURPHYS AUCTION
58036,2005,TORO,328-D 4WD,"MOWER - 72"" ROTARY",DPR,6506,,BIDADOO ONLINE AUCTION
58037,2005,TORO,328-D 4WD,"MOWER - 72"" ROTARY",DPR,4750,,MURPHYS AUCTION
58045,2005,BRUSH BANDIT,250XP,CHIPPER - 12 IN,DPR,20000,,MURPHYS AUCTION
58057,2005,TORO,4000-D,MOWER - 11` ROTARY,DPR,11500,,MURPHYS AUCTION
58067,2005,TORO,4000-D,MOWER - 11` ROTARY,DPR,11100,,BIDADOO ONLINE AUCTION
58070,2005,JACOBSEN,6010,MOWER - 11` ROTARY,DPR,5750,,MURPHYS AUCTION
58074,2005,TORO,328-D 4WD,"MOWER - 72"" ROTARY",DPR,4700,,MURPHYS AUCTION
58076,2005,TORO,328-D 4WD,"MOWER - 72"" ROTARY",DPR,5686,,BIDADOO ONLINE AUCTION
58080,2005,TORO,4000-D,MOWER - 11` ROTARY,DPR,17000,,MURPHYS AUCTION
58113,2005,TORO,4000-D,MOWER - 11` ROTARY,DPR,10600,,BIDADOO ONLINE AUCTION
58117,2005,TORO,4000-D,MOWER - 11` ROTARY,DPR,11525,,MURPHYS AUCTION
58122,2005,TORO,4700-D,MOWER - 11` ROTARY,DPR,11800,,BIDADOO ONLINE AUCTION
58137,2005,TORO,580D,MOWER - 16` ROTARY,DPR,10600,,MURPHYS AUCTION
58141,2005,TORO,328-D 4WD,"MOWER - 72"" ROTARY",DPR,5350,,MURPHYS AUCTION
58174,2005,KUBOTA,L39 4X4,TRACTOR,DPR,18600,,BIDADOO ONLINE AUCTION
58178,2005,KUBOTA,L39 4X4,TRACTOR,DPR,15602,,BIDADOO ONLINE AUCTION
58179,2005,KUBOTA,L39 4X4,TRACTOR,DPR,20302,,BIDADOO ONLINE AUCTION
58271,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,4600,,MURPHYS AUCTION
58272,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,3000,,MURPHYS AUCTION
58273,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,2900,,MURPHYS AUCTION
58274,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,2800,,MURPHYS AUCTION
58275,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,3100,,MURPHYS AUCTION
58278,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,3900,,MURPHYS AUCTION
58280,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,3600,,MURPHYS AUCTION
58343,2005,JEEP,LIBERTY,COMPACT SUV,SPD,1325,,MURPHYS AUCTION
58345,2005,JEEP,LIBERTY,COMPACT SUV,SPD,1625,,MURPHYS AUCTION
59805,2005,FORD,CROWN VICTORIA,PATROL CAR,SPD,2400,,MURPHYS AUCTION
59808,2005,FORD,CROWN VICTORIA,PATROL CAR,SPD,460,,MURPHYS AUCTION
59829,2005,FORD,CROWN VICTORIA,PATROL CAR ACTIVE SPARE RESERVE,SPD,2050.96,,BIDADOO ONLINE AUCTION
59837,2005,FORD,CROWN VICTORIA,PATROL CAR,SPD,800,,MURPHYS AUCTION
59840,2005,FORD,CROWN VICTORIA,PATROL CAR - HALF SCREEN,SPD,2225,,BIDADOO ONLINE AUCTION
59843,2005,FORD,CROWN VICTORIA,PATROL CAR TRAINING,SPD,2605,,BIDADOO ONLINE AUCTION
59849,2005,FORD,CROWN VICTORIA,PATROL CAR - LICENSE RECOG SYSTEM,SPD,1775,,BIDADOO ONLINE AUCTION
59868,2005,FORD,CROWN VICTORIA,PATROL CAR - TRAFFIC TRAINING,SPD,2100,,MURPHYS AUCTION
59870,2005,FORD,CROWN VICTORIA,PATROL CAR - TRAFFIC TRAINING,SPD,1550,,MURPHYS AUCTION
61047,2006,DODGE,MAGNUM,FULLSIZE STATION WAGON,SPD,2575.02,,MURPHYS AUCTION
61127,2006,FORD,FOCUS,SUBCOMPACT SEDAN,SPU,6250,,MURPHYS AUCTION
61730,2006,CHEVROLET,IMPALA,SEDAN MIDSIZE,SPD,760,,MURPHYS AUCTION
62917,2006,TOYOTA,PRIUS,SEDAN COMPACT HYBRID,FAS,5800,,MURPHYS AUCTION
63383,2006,FORD,F350,PICKUP - FLATBED - PRESSURE WASHER,DPR,8501.5,,MURPHYS AUCTION
63541,2006,FORD,F250,PICKUP - DUMP BODY,SDOT,10750,,BIDADOO ONLINE AUCTION
63545,2006,FORD,F250,PICKUP - DUMP BODY,SDOT,11700,,BIDADOO ONLINE AUCTION
63580,2006,FORD,F250,PICKUP - DUMP BODY,SDOT,10333,,BIDADOO ONLINE AUCTION
63765,2006,CHEVROLET,SUBURBAN K1500,SUV FULLSIZE - 4X4,SFD,7833,,BIDADOO ONLINE AUCTION
63765,2006,CHEVROLET,SUBURBAN K1500/K15906,SUV FULLSIZE - 4X4,SFD,7833,,BIDADOO ONLINE AUCTION
63955,2006,FORD,F250,PICKUP - CREW CAB,DPR,9449.99,,MURPHYS AUCTION
64576,2006,FORD,F250,PICKUP - SERVICE BODY,SPU,8100,,MURPHYS AUCTION
64603,2006,FORD,F250,PICKUP - 4X4,SPU,7250,,MURPHYS AUCTION
64637,2006,FORD,F350,PICKUP - SERVICE BODY - 4X4,SPU,11800,,BIDADOO ONLINE AUCTION
64638,2006,FORD,F350,PICKUP - SERVICE BODY,SPU,11000,,MURPHYS AUCTION
65320,2006,FORD,E450,MEDIC AID VAN - 1ST REMOUNT,SFD,4100,,MURPHYS AUCTION
65321,2006,FORD,E450,MEDIC AID VAN - NEW BODY,SFD,3600,,MURPHYS AUCTION
65322,2006,FORD,E450,MEDIC AID VAN - NEW BODY,SFD,4155,,BIDADOO ONLINE AUCTION
65652,2006,CASE,590M,BACKHOE LOADER - 15200 LB - BREAKER,SDOT,25850,,BIDADOO ONLINE AUCTION
65735,2006,STERLING,SC8000,SWEEPER - REGENERATIVE AIR,SDOT,42000,,MURPHYS AUCTION
67200,2006,LIFT-A-LOAD,EPTW-314,TRAILER - ELEVATING PLATFORM  11340 GVWR,SDOT,5600,,BIDADOO ONLINE AUCTION
68032,2006,TORO,4000,MOWER - 11` ROTARY,DPR,10100,,BIDADOO ONLINE AUCTION
68044,2006,JOHN DEERE,4120 TRACTOR,TRACTOR - 4X4,DPR,3500,,MURPHYS AUCTION
68049,2006,VERMEER,BC 1000-XL,CHIPPER - 12 IN,SPU,19000,,MURPHYS AUCTION
68131,2006,TORO,580D,MOWER - 16` ROTARY,DPR,15250,,MURPHYS AUCTION
68139,2006,KUBOTA,F3680,"MOWER - 72"" ROTARY 4X4",DPR,7750,,MURPHYS AUCTION
68157,2006,KUBOTA,RTV900T6T2,UTILITY VEHICLE 4 WHEEL,DPR,2750,,MURPHYS AUCTION
68161,2006,JOHN DEERE,410G,BACKHOE LOADER - 18600 LB - BREAKER 4X4,SPU,29000,,MURPHYS AUCTION
69872,2006,DODGE,CHARGER,FULLSIZE SEDAN,SPD,4000,,OTHER
69872,2006,DODGE,CHARGER,FULLSIZE SEDAN,SPD,4000,,OTHER SURPLUS METHOD
69880,2006,FORD,CROWN VICTORIA,PATROL CAR,SPD,1025,,MURPHYS AUCTION
69882,2006,FORD,CROWN VICTORIA,PATROL CAR (FORMER) SPARE RESERVE,SPD,1000,,MURPHYS AUCTION
69887,2006,FORD,CROWN VICTORIA,PATROL CAR ACTIVE SPARE RESERVE,SPD,2005,,BIDADOO ONLINE AUCTION
69891,2006,FORD,CROWN VICTORIA,PATROL CAR TRAINING,SPD,2051,,BIDADOO ONLINE AUCTION
69892,2006,FORD,CROWN VICTORIA,PATROL CAR,SPD,1519,,BIDADOO ONLINE AUCTION
69893,2006,FORD,CROWN VICTORIA,PATROL CAR,SPD,1875,,BIDADOO ONLINE AUCTION
69895,2006,FORD,CROWN VICTORIA,PATROL CAR,SPD,1825,,BIDADOO ONLINE AUCTION
69896,2006,FORD,CROWN VICTORIA,PATROL CAR,SPD,1450,,MURPHYS AUCTION
69897,2006,FORD,CROWN VICTORIA,PATROL CAR,SPD,2000,,MURPHYS AUCTION
69900,2006,FORD,CROWN VICTORIA,PATROL CAR,SPD,1900,,MURPHYS AUCTION
69904,2006,FORD,CROWN VICTORIA,PATROL CAR,SPD,925,,MURPHYS AUCTION
69907,2006,FORD,CROWN VICTORIA,PATROL CAR,SPD,1900,,MURPHYS AUCTION
69908,2006,FORD,CROWN VICTORIA,PATROL CAR ACTIVE SPARE RESERVE,SPD,901,,MURPHYS AUCTION
69910,2006,FORD,CROWN VICTORIA,PATROL CAR TRAINING,SPD,2325,,BIDADOO ONLINE AUCTION
70463,2007,CHEVROLET,IMPALA,MIDSIZE SEDAN,SPD,807,,MURPHYS AUCTION
71990,2007,TORO,WORKMAN E2065,UTILITY VEHICLE - ELECTRIC,CEN,2200,,MURPHYS AUCTION
72747,2007,APPLIED SWEEPER INC,GREEN MACHINE,SWEEPER - YARD,CEN,18750,,BIDADOO ONLINE AUCTION
73032,2007,FORD,RANGER,COMPACT PICKUP,FAS,10250,,MURPHYS AUCTION
73293,2007,DODGE,GRAND CARAVAN,CARGO MINIVAN,SPU,1600,,MURPHYS AUCTION
73584,2007,FORD,RANGER,COMPACT PICKUP,SPU,7351,,BIDADOO ONLINE AUCTION
73597,2007,FORD,RANGER,COMPACT PICKUP,SDOT,7300,,BIDADOO ONLINE AUCTION
73616,2007,FORD,F350,PICKUP PLOW 4X4,SDOT,14000,,MURPHYS AUCTION
73671,2007,FORD,F350,PICKUP,SDOT,4600,,MURPHYS AUCTION
73673,2007,FORD,F350,PICKUP,SDOT,4351,,BIDADOO ONLINE AUCTION
73938,2007,PETERBILT,330,TRUCK - FLATBED - CONCRETE - CLASS 6,DPR,41600,,BIDADOO ONLINE AUCTION
73953,2007,GMC,WORK HORSE,WALKIN VAN - CLASS 4,SPL,16800,,BIDADOO ONLINE AUCTION
74521,2007,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - CREW CAB - 4X4,SPU,14000,,BIDADOO ONLINE AUCTION
74532,2007,FORD,RANGER,COMPACT PICKUP,SPU,8215,,BIDADOO ONLINE AUCTION
74547,2007,FORD,RANGER,COMPACT PICKUP,SPU,6600,,MURPHYS AUCTION
74625,2007,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - CREW CAB - 4X4,SPU,12000,,MURPHYS AUCTION
74716,2007,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - CREW CAB - 4X4,SPU,12250,,MURPHYS AUCTION
75519,2007,PETERBILT,335,TRUCK - FLATBED - CLASS 7,SDOT,45100,,BIDADOO ONLINE AUCTION
75653,2007,KENWORTH,W900B,TRUCK - 11 YD CEMENT MIXER - CLASS 8,SDOT,22655,,BIDADOO ONLINE AUCTION
75684,2007,CASE,590M,BACKHOE LOADER - 19500 LB - BREAKER  4X4,SDOT,33600,,MURPHYS AUCTION
75689,2007,CASE,590M,BACKHOE LOADER - 19500 LB - BREAKER  4X4,SDOT,23000,,MURPHYS AUCTION
75736,2007,STERLING,SC8000,SWEEPER - REGENERATIVE AIR,SDOT,45100,,BIDADOO ONLINE AUCTION
75742,2007,STERLING,SC8000,SWEEPER - REGENERATIVE AIR,SDOT,36600,,BIDADOO ONLINE AUCTION
75743,2007,STERLING,SC8000,SWEEPER - MECHANICAL,SDOT,52800,,BIDADOO ONLINE AUCTION
75744,2007,STERLING,SC8000,SWEEPER - REGENERATIVE AIR M6000,SDOT,47100,,BIDADOO ONLINE AUCTION
76452,2007,JOHN DEERE,ZTRAK M665,"MOWER - 72"" ROTARY",SPU,3750,,MURPHYS AUCTION
76515,2007,PETERBILT,335,TRUCK - CRANE - CLASS 8,SPU,110000,,MURPHYS AUCTION
76517,2007,JOHN DEERE,ZTRAK 777,"MOWER - 72"" ROTARY",SPU,3750,,MURPHYS AUCTION
76532,2007,JOHN DEERE,110 TRACTOR/LOADER/BACKHOE,TRACTOR - LOADER - BACKHOE,SPU,29000,,MURPHYS AUCTION
77148,2007,CASE,590M,BACKHOE LOADER - 19500 LB - BREAKER  4X4,SDOT,29500,,MURPHYS AUCTION
77231,2007,BRUSH BANDIT,250XP,CHIPPER - 12 IN,SDOT,18650,,BIDADOO ONLINE AUCTION
77300,2007,SEGWAY,I2,ELECTRIC PERSONAL MOBILITY DEVICE,SPD,1725,,BIDADOO ONLINE AUCTION
77301,2007,SEGWAY,I2,ELECTRIC PERSONAL MOBILITY DEVICE,SPD,1175,,BIDADOO ONLINE AUCTION
77302,2007,SEGWAY,I2,ELECTRIC PERSONAL MOBILITY DEVICE,SPD,1325,,BIDADOO ONLINE AUCTION
77303,2007,SEGWAY,I2,ELECTRIC PERSONAL MOBILITY DEVICE,SPD,2393,,BIDADOO ONLINE AUCTION
77304,2007,SEGWAY,I2,ELECTRIC PERSONAL MOBILITY DEVICE,SPD,785,,BIDADOO ONLINE AUCTION
77305,2007,SEGWAY,I2,ELECTRIC PERSONAL MOBILITY DEVICE,SPD,1526,,BIDADOO ONLINE AUCTION
77306,2007,SEGWAY,I2,ELECTRIC PERSONAL MOBILITY DEVICE,FAS,1000,,MURPHYS AUCTION
77428,2007,EZEE,TORQ2,ELECTRIC BICYCLE,FAS,600,,MURPHYS AUCTION
78026,2007,TORO,4000-D,MOWER - 11` ROTARY,DPR,11700,,MURPHYS AUCTION
78028,2007,TORO,328-D 4WD,"MOWER - 72"" ROTARY",DPR,4506,,BIDADOO ONLINE AUCTION
78048,2007,JOHN DEERE,2500E HYBRID DIESEL,MOWER - HYBRID GREENS,DPR,4050,,BIDADOO ONLINE AUCTION
78064,2007,TORO,4000-D,MOWER - 11` ROTARY,DPR,12500,,MURPHYS AUCTION
78079,2007,TORO,4000-D,MOWER - 11` ROTARY,DPR,17877,,BIDADOO ONLINE AUCTION
78081,2007,TORO,4000-D,MOWER - 11` ROTARY,DPR,14652.77,,BIDADOO ONLINE AUCTION
78116,2007,TORO,4000-D,MOWER - 11` ROTARY,DPR,10975,,BIDADOO ONLINE AUCTION
78138,2007,TORO,4000-D,MOWER - 11` ROTARY,DPR,13201.5,,BIDADOO ONLINE AUCTION
78140,2007,TORO,580D,MOWER - 16` ROTARY,DPR,15120.99,,BIDADOO ONLINE AUCTION
78142,2007,TORO,4000-D,MOWER - 11` ROTARY,DPR,11700,,MURPHYS AUCTION
78286,2007,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,2600,,BIDADOO ONLINE AUCTION
79107,2007,DODGE,CHARGER,PATROL CAR - TRAFFIC,SPD,5100,,BIDADOO ONLINE AUCTION
79108,2007,DODGE,CHARGER,PATROL CAR - TRAFFIC,SPD,2150,,BIDADOO ONLINE AUCTION
79913,2007,FORD,CROWN VICTORIA,PATROL CAR - HALF SCREEN,SPD,2000,,MURPHYS AUCTION
79914,2007,FORD,CROWN VICTORIA,PATROL CAR - HALF SCREEN,SPD,2425,,BIDADOO ONLINE AUCTION
79917,2007,FORD,CROWN VICTORIA,PATROL CAR ACTIVE SPARE RESERVE,SPD,726,,MURPHYS AUCTION
79918,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,2100,,MURPHYS AUCTION
79919,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,2325,,BIDADOO ONLINE AUCTION
79920,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,2750,,MURPHYS AUCTION
79921,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,2400,,MURPHYS AUCTION
79924,2007,FORD,CROWN VICTORIA,PATROL CAR - SGT`S CAR,SPD,550,,MURPHYS AUCTION
79926,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,2600,,MURPHYS AUCTION
79927,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,2600,,MURPHYS AUCTION
79928,2007,FORD,CROWN VICTORIA,PATROL CAR - K9,SPD,1225,,BIDADOO ONLINE AUCTION
79930,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,910,,BIDADOO ONLINE AUCTION
79931,2007,DODGE,CHARGER,PATROL CAR - TRAFFIC,SPD,3500,,BIDADOO ONLINE AUCTION
79932,2007,DODGE,CHARGER,PATROL CAR - TRAFFIC,SPD,4500,,OTHER
79932,2007,DODGE,CHARGER,PATROL CAR - TRAFFIC,SPD,4500,,OTHER SURPLUS METHOD
79933,2007,DODGE,CHARGER,PATROL CAR - DUI,SPD,7900,,MURPHYS AUCTION
79934,2007,DODGE,CHARGER,PATROL CAR - TRAFFIC,SPD,2850,,BIDADOO ONLINE AUCTION
79935,2007,DODGE,CHARGER,PATROL CAR - DUI,SPD,4500,,MURPHYS AUCTION
79936,2007,DODGE,CHARGER,PATROL CAR - TRAFFIC,SPD,5450,,MURPHYS AUCTION
79951,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,1925,,BIDADOO ONLINE AUCTION
79952,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,2400,,MURPHYS AUCTION
79953,2007,FORD,CROWN VICTORIA,PATROL CAR TRAINING,SPD,950,,MURPHYS AUCTION
79954,2007,FORD,CROWN VICTORIA,PATROL CAR - TRAINING,SPD,1550,,MURPHYS AUCTION
79955,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,410,,MURPHYS AUCTION
79958,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,2127,,BIDADOO ONLINE AUCTION
79959,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,850,,MURPHYS AUCTION
79960,2007,FORD,CROWN VICTORIA,PATROL CAR,SPD,1925,,BIDADOO ONLINE AUCTION
